9/24/2020, 14:19:39 | asdf | Left chat
9/24/2020, 16:46:22 |  | Left chat
9/24/2020, 16:46:22 |  | Joined chat
9/24/2020, 16:46:23 |  | Left chat
9/24/2020, 16:46:24 |  | Joined chat
9/24/2020, 16:46:35 |  | Left chat
9/24/2020, 16:46:40 | johndoe | Joined chat
9/24/2020, 16:48:44 | johndoe | Left chat
9/24/2020, 17:13:10 | johnny | Joined chat
9/24/2020, 17:15:02 | johnny | Left chat
9/24/2020, 17:15:02 |  | Joined chat
9/24/2020, 17:18:36 |  | Left chat
9/24/2020, 17:29:24 |  | Joined chat
9/24/2020, 17:30:10 | maestro | Joined chat
9/24/2020, 17:30:34 | maestro | Left chat
9/24/2020, 17:31:33 | john | Joined chat
9/24/2020, 17:32:04 | adsf | Joined chat
9/24/2020, 17:32:25 | john | Joined chat
9/24/2020, 17:34:20 | asdf | Joined chat
9/24/2020, 17:34:23 | asdf | Left chat
9/24/2020, 17:35:19 | john | Joined chat
9/24/2020, 17:35:21 | john | Left chat
9/24/2020, 17:36:06 | john | Joined chat
9/24/2020, 17:36:18 | john | Left chat
9/24/2020, 17:37:39 | johnny | Joined chat
9/24/2020, 17:38:10 | john | Joined chat
9/24/2020, 17:38:43 | john | Left chat
9/24/2020, 17:39:14 | johnny | Joined chat
9/24/2020, 17:39:33 | asdf | Joined chat
9/24/2020, 17:39:52 | johnny | Left chat
9/24/2020, 17:39:53 |  | Joined chat
9/24/2020, 17:39:55 |  | Left chat
9/24/2020, 17:39:58 | john | Joined chat
9/24/2020, 17:40:03 | asdf | Left chat
9/24/2020, 17:40:03 | john | Left chat
9/24/2020, 17:40:08 | johnny | Joined chat
9/24/2020, 17:40:13 | johnny | Left chat
9/24/2020, 17:44:12 | john | Joined chat
9/24/2020, 17:44:16 | john | Left chat
9/24/2020, 17:44:20 | johnny | Joined chat
9/24/2020, 17:44:54 | johnny | Left chat
9/24/2020, 17:44:57 | johnny | Joined chat
9/24/2020, 17:45:04 | hejsan | Joined chat
9/24/2020, 17:45:09 | hejsan | Left chat
9/24/2020, 17:45:13 | johnny | Left chat
9/24/2020, 17:45:16 | asdf | Joined chat
9/24/2020, 17:45:18 | asdf | Left chat
9/24/2020, 17:48:18 | johnny | Joined chat
9/24/2020, 17:55:39 | johnny | Left chat
9/24/2020, 17:55:39 |  | Joined chat
9/24/2020, 17:55:41 |  | Left chat
9/24/2020, 17:55:45 | john | Joined chat
9/24/2020, 17:55:57 | hejsan | Joined chat
9/24/2020, 17:56:57 | hejsan | Left chat
9/24/2020, 17:59:47 | john | Left chat
9/24/2020, 17:59:47 |  | Joined chat
9/24/2020, 17:59:47 |  | Joined chat
9/24/2020, 18:00:44 |  | Left chat
9/24/2020, 18:03:48 |  | Left chat
9/24/2020, 18:03:49 |  | Joined chat
9/24/2020, 18:03:49 |  | Joined chat
9/24/2020, 18:04:19 |  | Left chat
9/24/2020, 18:04:21 |  | Left chat
9/24/2020, 18:08:21 |  | Joined chat
9/24/2020, 18:08:21 |  | Joined chat
9/24/2020, 18:08:34 |  | Left chat
9/24/2020, 18:08:37 |  | Left chat
9/24/2020, 18:08:43 | johnny | Joined chat
9/24/2020, 18:09:01 | hejsan | Joined chat
9/24/2020, 18:09:23 | hejsan | Left chat
9/24/2020, 18:10:15 | asdf | Joined chat
9/24/2020, 18:10:51 | asdf | Left chat
9/24/2020, 18:12:37 | johnny | Left chat
9/24/2020, 18:17:18 |  | Joined chat
9/24/2020, 18:17:40 |  | Left chat
9/24/2020, 18:17:40 |  | Joined chat
9/24/2020, 18:22:27 |  | Left chat
9/24/2020, 18:22:27 |  | Joined chat
9/24/2020, 18:25:32 |  | Left chat
9/24/2020, 18:25:33 |  | Joined chat
9/24/2020, 18:25:37 |  | Left chat
9/24/2020, 18:25:40 | john | Joined chat
9/24/2020, 18:25:47 | hejsan | Joined chat
9/24/2020, 18:26:03 | john | Left chat
9/24/2020, 18:28:29 | hejsan | Left chat
9/24/2020, 18:28:30 |  | Joined chat
9/24/2020, 18:28:35 |  | Left chat
9/24/2020, 18:28:35 |  | Joined chat
9/24/2020, 18:32:18 | john | Joined chat
9/24/2020, 18:32:30 | hejsan | Joined chat
9/24/2020, 18:32:38 | john | Left chat
9/24/2020, 18:32:40 |  | Joined chat
9/24/2020, 18:33:54 | hejsan | Left chat
9/24/2020, 18:36:05 |  | Left chat
9/24/2020, 18:36:05 |  | Joined chat
9/24/2020, 18:36:10 |  | Left chat
9/24/2020, 18:36:13 | john | Joined chat
9/24/2020, 18:36:14 | john | Left chat
9/24/2020, 18:36:17 | john | Joined chat
9/24/2020, 18:36:57 | john | Left chat
9/24/2020, 18:37:00 | john | Joined chat
9/24/2020, 18:37:00 | john | Left chat
9/24/2020, 18:37:05 | john | Joined chat
9/24/2020, 18:37:39 | john | Left chat
9/24/2020, 18:37:43 | johnny | Joined chat
9/24/2020, 18:37:44 | johnny | Left chat
9/24/2020, 18:38:00 | johnny | Joined chat
9/24/2020, 18:38:01 | johnny | Left chat
9/24/2020, 18:38:05 | johnny | Joined chat
9/24/2020, 18:38:13 | johnny | Left chat
9/24/2020, 18:39:38 |  | Joined chat
9/24/2020, 18:39:39 |  | Left chat
9/24/2020, 18:39:47 | johnny | Joined chat
9/24/2020, 18:39:50 | johnny | Left chat
9/24/2020, 18:39:57 | johnny | Joined chat
9/24/2020, 18:40:07 | hejsan | Joined chat
9/24/2020, 18:40:11 | johnny | Left chat
9/24/2020, 18:40:13 | johnny | Joined chat
9/24/2020, 18:41:59 | hejsan | Left chat
9/24/2020, 18:42:57 | johnny | Left chat
9/24/2020, 18:42:57 |  | Joined chat
9/24/2020, 18:43:03 |  | Left chat
9/24/2020, 18:43:10 | john | Joined chat
9/24/2020, 18:43:17 | hejsan | Joined chat
9/24/2020, 18:43:25 | hejsan | Left chat
9/24/2020, 18:43:55 | asdf | Joined chat
9/24/2020, 18:44:03 | asdf | Left chat
9/24/2020, 18:44:08 |  | Joined chat
9/24/2020, 18:44:09 |  | Left chat
9/24/2020, 18:44:13 | john | Left chat
9/24/2020, 18:44:28 | 1 | Joined chat
9/24/2020, 18:44:32 | 1 | Left chat
9/24/2020, 18:44:39 | 1 | Joined chat
9/24/2020, 18:44:54 | 2 | Joined chat
9/24/2020, 18:45:10 | 2 | Left chat
9/24/2020, 18:46:00 | 1 | Left chat
9/24/2020, 18:47:12 |  | Joined chat
9/24/2020, 18:47:12 |  | Left chat
9/24/2020, 18:47:26 | hej | Joined chat
9/24/2020, 18:47:26 | hej | Left chat
9/24/2020, 18:59:14 | asdf | Joined chat
9/24/2020, 18:59:43 | asdf | Left chat
9/24/2020, 18:59:43 |  | Joined chat
9/24/2020, 19:00:56 |  | Left chat
9/24/2020, 19:00:57 |  | Joined chat
9/24/2020, 19:02:57 |  | Left chat
9/24/2020, 19:02:57 |  | Joined chat
9/24/2020, 19:03:53 |  | Left chat
9/24/2020, 19:05:15 |  | Joined chat
9/24/2020, 19:05:17 |  | Left chat
9/24/2020, 19:05:26 |  | Joined chat
9/24/2020, 19:05:34 |  | Left chat
9/24/2020, 19:05:47 | asdf | Joined chat
9/24/2020, 19:05:56 | john | Joined chat
9/24/2020, 19:06:20 | john | Left chat
9/24/2020, 19:06:32 | john | Joined chat
9/24/2020, 19:08:10 | asdf | Left chat
9/24/2020, 19:08:11 |  | Joined chat
9/24/2020, 19:08:11 |  | Joined chat
9/24/2020, 19:08:19 | john | Left chat
9/24/2020, 21:16:45 | asdf | Joined chat
9/24/2020, 21:16:52 | asdf | Left chat
9/24/2020, 21:16:55 | asdf | Joined chat
9/24/2020, 21:16:57 | asdf | Left chat
9/24/2020, 21:17:01 | asdf | Joined chat
9/24/2020, 21:17:04 | asdf | Left chat
9/24/2020, 21:17:18 | asdf | Joined chat
9/24/2020, 21:19:04 | asdf | Left chat
9/24/2020, 21:19:04 |  | Joined chat
9/24/2020, 21:26:07 | asdf | Joined chat
9/24/2020, 21:26:58 | asdf | Left chat
9/24/2020, 21:26:59 |  | Joined chat
9/24/2020, 21:28:20 | asdf | Joined chat
9/24/2020, 21:29:21 | asdf | Joined chat
9/24/2020, 21:29:39 | asdf | Left chat
9/24/2020, 21:32:27 | asdf | Joined chat
9/24/2020, 21:34:01 | asdf | Left chat
9/24/2020, 21:34:02 |  | Joined chat
9/24/2020, 21:34:58 |  | Left chat
9/24/2020, 21:38:48 |  | Joined chat
9/24/2020, 21:40:34 |  | Left chat
9/24/2020, 21:46:46 |  | Joined chat
9/24/2020, 21:47:31 | john | Joined chat
9/24/2020, 21:49:18 | john | Left chat
9/24/2020, 21:49:24 |  | Left chat
9/24/2020, 21:50:03 | john | Joined chat
9/24/2020, 21:50:19 | sara | Joined chat
9/24/2020, 22:03:07 |  | Joined chat
9/24/2020, 22:03:07 |  | Joined chat
9/24/2020, 22:03:22 |  | Left chat
9/24/2020, 22:03:23 |  | Joined chat
9/24/2020, 22:03:23 |  | Joined chat
9/24/2020, 22:03:37 |  | Left chat
9/24/2020, 22:04:19 |  | Left chat
9/24/2020, 22:04:19 |  | Joined chat
9/24/2020, 22:04:19 |  | Joined chat
9/24/2020, 22:04:37 |  | Left chat
9/24/2020, 22:04:38 |  | Joined chat
9/24/2020, 22:04:38 |  | Joined chat
9/24/2020, 22:04:43 |  | Left chat
9/24/2020, 22:04:47 |  | Left chat
9/24/2020, 22:04:48 |  | Joined chat
9/24/2020, 22:04:48 |  | Joined chat
9/24/2020, 22:04:49 |  | Left chat
9/24/2020, 22:05:08 |  | Left chat
9/24/2020, 22:05:36 |  | Left chat
9/24/2020, 22:05:36 |  | Joined chat
9/24/2020, 22:05:36 |  | Joined chat
9/24/2020, 22:05:43 |  | Left chat
9/24/2020, 22:05:55 |  | Left chat
9/24/2020, 22:05:58 |  | Left chat
9/24/2020, 22:06:05 | john | Joined chat
9/24/2020, 22:06:23 | sara | Joined chat
9/24/2020, 22:16:58 | john | Left chat
9/24/2020, 22:16:59 |  | Joined chat
9/24/2020, 22:16:59 |  | Joined chat
9/24/2020, 22:17:18 | sara | Left chat
9/24/2020, 22:17:20 |  | Left chat
9/24/2020, 22:17:20 |  | Joined chat
9/24/2020, 22:17:20 |  | Joined chat
9/24/2020, 22:17:29 |  | Left chat
9/24/2020, 22:17:38 |  | Left chat
9/24/2020, 22:17:41 |  | Left chat
9/24/2020, 22:17:44 | sara | Joined chat
9/24/2020, 22:17:50 | john | Joined chat
9/24/2020, 22:18:16 | john | Left chat
9/24/2020, 22:18:17 |  | Joined chat
9/24/2020, 22:18:17 |  | Joined chat
9/24/2020, 22:18:26 |  | Left chat
9/24/2020, 22:18:28 | john | Joined chat
9/24/2020, 22:18:31 |  | Left chat
9/24/2020, 22:18:37 | sara2 | Joined chat
9/24/2020, 22:18:39 | sara | Left chat
9/24/2020, 22:23:26 | john | Left chat
9/24/2020, 22:23:26 |  | Joined chat
9/24/2020, 22:23:26 |  | Joined chat
9/24/2020, 22:23:42 | sara2 | Left chat
9/24/2020, 22:26:03 |  | Left chat
9/24/2020, 22:26:04 |  | Joined chat
9/24/2020, 22:26:04 |  | Joined chat
9/24/2020, 22:26:21 |  | Left chat
9/24/2020, 22:26:21 |  | Joined chat
9/24/2020, 22:26:21 |  | Joined chat
9/24/2020, 22:26:26 |  | Left chat
9/24/2020, 22:26:34 |  | Left chat
9/24/2020, 22:26:44 |  | Left chat
9/24/2020, 22:26:44 |  | Joined chat
9/24/2020, 22:26:44 |  | Joined chat
9/24/2020, 22:26:46 |  | Left chat
9/24/2020, 22:26:48 |  | Left chat
9/24/2020, 22:26:51 |  | Left chat
9/24/2020, 22:26:51 | john | Joined chat
9/24/2020, 22:26:55 | sara | Joined chat
9/24/2020, 22:30:44 | john | Left chat
9/24/2020, 22:32:50 | sara | Left chat
9/24/2020, 22:32:50 |  | Joined chat
9/24/2020, 22:32:50 |  | Joined chat
9/24/2020, 22:32:56 |  | Left chat
9/24/2020, 22:32:58 |  | Left chat
9/24/2020, 22:33:02 | john | Joined chat
9/24/2020, 22:33:10 | sara | Joined chat
9/24/2020, 22:33:45 | john | Left chat
9/24/2020, 22:33:46 |  | Joined chat
9/24/2020, 22:33:46 |  | Joined chat
9/24/2020, 22:34:05 | sara | Left chat
9/24/2020, 22:42:44 |  | Left chat
9/24/2020, 22:44:58 |  | Left chat
9/24/2020, 23:19:00 |  | Joined chat
9/24/2020, 23:19:00 |  | Joined chat
9/24/2020, 23:19:05 |  | Left chat
9/24/2020, 23:19:07 |  | Left chat
9/24/2020, 23:19:13 | john | Joined chat
9/24/2020, 23:19:19 | sara | Joined chat
9/24/2020, 23:20:48 | sara | Left chat
9/24/2020, 23:20:48 |  | Joined chat
9/24/2020, 23:20:48 |  | Joined chat
9/24/2020, 23:20:58 | john | Left chat
9/24/2020, 23:21:40 |  | Left chat
9/24/2020, 23:21:41 |  | Joined chat
9/24/2020, 23:21:41 |  | Joined chat
9/24/2020, 23:22:08 |  | Left chat
9/24/2020, 23:22:15 |  | Left chat
9/24/2020, 23:22:18 |  | Left chat
9/24/2020, 23:22:22 | john | Joined chat
9/24/2020, 23:22:52 | john | Left chat
9/24/2020, 23:22:53 |  | Joined chat
9/24/2020, 23:23:56 |  | Left chat
9/24/2020, 23:23:56 |  | Joined chat
9/24/2020, 23:24:05 | asdf | Joined chat
9/24/2020, 23:24:23 |  | Left chat
9/24/2020, 23:24:23 |  | Joined chat
9/24/2020, 23:24:23 |  | Joined chat
9/24/2020, 23:24:26 |  | Left chat
9/24/2020, 23:24:28 |  | Left chat
9/24/2020, 23:24:31 | john | Joined chat
9/24/2020, 23:24:35 | sara | Joined chat
9/24/2020, 23:24:40 | asdf | Left chat
9/24/2020, 23:29:50 | john | Left chat
9/24/2020, 23:29:51 |  | Joined chat
9/24/2020, 23:29:51 |  | Joined chat
9/24/2020, 23:29:54 |  | Left chat
9/24/2020, 23:29:56 |  | Left chat
9/24/2020, 23:29:59 | john | Joined chat
9/24/2020, 23:30:06 | sara | Left chat
9/24/2020, 23:30:12 | tom | Joined chat
9/24/2020, 23:30:50 | sara | Joined chat
9/24/2020, 23:31:31 | jane | Joined chat
9/24/2020, 23:32:37 | sara | Left chat
9/24/2020, 23:32:44 | tom | Left chat
9/24/2020, 23:32:45 |  | Joined chat
9/24/2020, 23:32:45 |  | Joined chat
